"Ticker","Company","Sector","Industry"
"SYMC","Symantec Corp","Technology & Communications","Software & IT Services"
"SYY","Sysco Corp","Consumption II","Food Retailers & Distributors"
"T","AT&T Inc","Technology & Communications","Telecommunications"
"TAP","Molson Coors Brewing Co","Consumption I","Alcoholic Beverages"
"TDC","Teradata Corp","Technology & Communications","Software & IT Services"
"TDG","TransDigm Group Inc","Resource Transformation","Aerospace & Defense"
"TE","TECO Energy Inc","Infrastructure","Electric Utilities"
"TEL","TE Connectivity Ltd","Resource Transformation","Electrical & Electronic Equipment"
"TGNA","TEGNA Inc","Services","Media Production & Distribution"
"TGT","Target Corp","Consumption II","Multiline and Specialty Retailers & Distributors"
"TIF","Tiffany & Co","Consumption II","Apparel, Accessories & Footwear"
"TJX","TJX Cos Inc/The","Consumption II","Apparel, Accessories & Footwear"
"TMK","Torchmark Corp","Financials","Insurance"
"TMO","Thermo Fisher Scientific Inc","Health Care","Medical Equipment & Supplies"
"TRIP","TripAdvisor Inc","Technology & Communications","Internet Media & Services"
"TROW","T Rowe Price Group Inc","Financials","Asset Management & Custody Activities"
"TRV","Travelers Cos Inc/The","Financials","Insurance"
"TSCO","Tractor Supply Co","Consumption II","Multiline and Specialty Retailers & Distributors"
"TSN","Tyson Foods Inc","Consumption I","Meat, Poultry & Dairy"
"TSO","Tesoro Corp","Non-Renewable Resources","Oil & Gas - Refining & Marketing"
"TSS","Total System Services Inc","Financials","Consumer Finance"
"TWX","Time Warner Inc","Services","Media Production & Distribution"
"TXN","Texas Instruments Inc","Technology & Communications","Semiconductors"
"TXT","Textron Inc","Resource Transformation","Aerospace & Defense"
"TYC","Tyco International Plc","Resource Transformation","Electrical & Electronic Equipment"
"UA","Under Armour Inc","Consumption II","Apparel, Accessories & Footwear"
"UAL","United Continental Holdings Inc","Transportation","Airlines"
"UDR","UDR Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"UHS","Universal Health Services Inc","Health Care","Health Care Delivery"
"ULTA","Ulta Salon Cosmetics & Fragrance Inc","Consumption II","Multiline and Specialty Retailers & Distributors"
"UNH","UnitedHealth Group Inc","Health Care","Managed Care"
"UNM","Unum Group","Financials","Insurance"
"UNP","Union Pacific Corp","Transportation","Rail Transportation"
"UPS","United Parcel Service Inc","Transportation","Air Freight & Logistics"
"URBN","Urban Outfitters Inc","Consumption II","Apparel, Accessories & Footwear"
"URI","United Rentals Inc","Resource Transformation","Industrial Machinery & Goods"
"USB","US Bancorp","Financials","Commercial Banks"
"UTX","United Technologies Corp","Resource Transformation","Aerospace & Defense"
"V","Visa Inc","Financials","Consumer Finance"
"VAR","Varian Medical Systems Inc","Health Care","Medical Equipment & Supplies"
"VFC","VF Corp","Consumption II","Apparel, Accessories & Footwear"
"VIAB","Viacom Inc","Services","Media Production & Distribution"
"VLO","Valero Energy Corp","Non-Renewable Resources","Oil & Gas - Refining & Marketing"
"VMC","Vulcan Materials Co","Non-Renewable Resources","Construction Materials"
"VNO","Vornado Realty Trust","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"VRSK","Verisk Analytics Inc","Services","Professional Services"
"VRSN","VeriSign Inc","Technology & Communications","Internet Media & Services"
"VRTX","Vertex Pharmaceuticals Inc","Health Care","Biotechnology"
"VTR","Ventas Inc","Infrastructure","Real Estate Owners, Developers & Investment Trusts"
"VZ","Verizon Communications Inc","Technology & Communications","Telecommunications"
"WAT","Waters Corp","Health Care","Medical Equipment & Supplies"
"WBA","Walgreens Boots Alliance Inc","Consumption II","Drug Retailers & Convenience Stores"
"WDC","Western Digital Corp","Technology & Communications","Hardware"
"WEC","WEC Energy Group Inc","Infrastructure","Electric Utilities"
"WFC","Wells Fargo & Co","Financials","Commercial Banks"
"WFM","Whole Foods Market Inc","Consumption II","Food Retailers & Distributors"
"WHR","Whirlpool Corp","Consumption II","Appliance Manufacturing"
"WM","Waste Management Inc","Infrastructure","Waste Management"
"WMB","Williams Cos Inc/The","Non-Renewable Resources","Oil & Gas - Midstream"
"WMT","Wal-Mart Stores Inc","Consumption II","Multiline and Specialty Retailers & Distributors"
"WRK","WestRock Co","Resource Transformation","Containers & Packaging"
"WU","Western Union Co/The","Financials","Consumer Finance"
"WY","Weyerhaeuser Co","Renewable Resources & Alternative Energy","Forestry & Logging"
"WYN","Wyndham Worldwide Corp","Services","Hotels & Lodging"
"WYNN","Wynn Resorts Ltd","Services","Casinos & Gaming"
"XEC","Cimarex Energy Co","Non-Renewable Resources","Oil & Gas - Exploration & Production"
"XEL","Xcel Energy Inc","Infrastructure","Electric Utilities"
"XL","XL Group PLC","Financials","Insurance"
"XLNX","Xilinx Inc","Technology & Communications","Semiconductors"
"XOM","Exxon Mobil Corp","Non-Renewable Resources","Integrated Oil & Gas"
"XRAY","DENTSPLY International Inc","Health Care","Medical Equipment & Supplies"
"XRX","Xerox Corp","Technology & Communications","Software & IT Services"
"XYL","Xylem Inc/NY","Resource Transformation","Industrial Machinery & Goods"
"YHOO","Yahoo! Inc","Technology & Communications","Internet Media & Services"
"YUM","Yum! Brands Inc","Services","Restaurants"
"ZBH","Zimmer Biomet Holdings Inc","Health Care","Medical Equipment & Supplies"
"ZION","Zions Bancorporation","Financials","Commercial Banks"
"ZTS","Zoetis Inc","Health Care","Pharmaceuticals"
